prompt_type,temperature,top_p,top_k,success_rate
table_1x2,1.1,0.9,50,1.0
table_1x3,1.1,0.9,50,1.0
table_2x1,1.1,0.9,50,1.0
table_2x2,1.1,0.9,50,0.84375
table_2x3,1.1,0.9,50,0.59375
table_3x1,1.1,0.9,50,1.0
table_3x2,1.1,0.9,50,0.59375
table_3x3,1.1,0.9,50,0.4375
simple,1.2,0.9,50,1.0
table_1x1,1.2,0.9,50,1.0
table_1x2,1.2,0.9,50,1.0
table_1x3,1.2,0.9,50,1.0
table_2x1,1.2,0.9,50,1.0
table_2x2,1.2,0.9,50,0.625
table_2x3,1.2,0.9,50,0.40625
table_3x1,1.2,0.9,50,1.0
table_3x2,1.2,0.9,50,0.28125
table_3x3,1.2,0.9,50,0.46875
simple,1.3,0.9,50,1.0
table_1x1,1.3,0.9,50,1.0
table_1x2,1.3,0.9,50,1.0
table_1x3,1.3,0.9,50,1.0
table_2x1,1.3,0.9,50,1.0
table_2x2,1.3,0.9,50,0.75
table_2x3,1.3,0.9,50,0.375
table_3x1,1.3,0.9,50,1.0
table_3x2,1.3,0.9,50,0.1875
table_3x3,1.3,0.9,50,0.375
simple,1.4,0.9,50,1.0
table_1x1,1.4,0.9,50,1.0
table_1x2,1.4,0.9,50,1.0
table_1x3,1.4,0.9,50,1.0
table_2x1,1.4,0.9,50,1.0
table_2x2,1.4,0.9,50,0.625
table_2x3,1.4,0.9,50,0.375
table_3x1,1.4,0.9,50,0.96875
table_3x2,1.4,0.9,50,0.5
table_3x3,1.4,0.9,50,0.4375
simple,1.5,0.9,50,1.0
table_1x1,1.5,0.9,50,1.0
table_1x2,1.5,0.9,50,1.0
table_1x3,1.5,0.9,50,0.96875
table_2x1,1.5,0.9,50,0.9375
table_2x2,1.5,0.9,50,0.5625
table_2x3,1.5,0.9,50,0.46875
table_3x1,1.5,0.9,50,0.9375
table_3x2,1.5,0.9,50,0.28125
table_3x3,1.5,0.9,50,0.28125
simple,1.0,0.3,50,1.0
table_1x1,1.0,0.3,50,1.0
table_1x2,1.0,0.3,50,1.0
table_1x3,1.0,0.3,50,1.0
table_2x1,1.0,0.3,50,1.0
table_2x2,1.0,0.3,50,1.0
table_2x3,1.0,0.3,50,1.0
table_3x1,1.0,0.3,50,1.0
table_3x2,1.0,0.3,50,1.0
table_3x3,1.0,0.3,50,1.0
simple,1.0,0.4,50,1.0
table_1x1,1.0,0.4,50,1.0
table_1x2,1.0,0.4,50,1.0
table_1x3,1.0,0.4,50,1.0
table_2x1,1.0,0.4,50,1.0
table_2x2,1.0,0.4,50,1.0
table_2x3,1.0,0.4,50,1.0
table_3x1,1.0,0.4,50,1.0
table_3x2,1.0,0.4,50,1.0
table_3x3,1.0,0.4,50,1.0
simple,1.0,0.5,50,1.0
table_1x1,1.0,0.5,50,1.0
table_1x2,1.0,0.5,50,1.0
table_1x3,1.0,0.5,50,1.0
table_2x1,1.0,0.5,50,1.0
table_2x2,1.0,0.5,50,1.0
table_2x3,1.0,0.5,50,1.0
table_3x1,1.0,0.5,50,1.0
table_3x2,1.0,0.5,50,0.84375
table_3x3,1.0,0.5,50,0.9375
simple,1.0,0.6,50,1.0
table_1x1,1.0,0.6,50,1.0
table_1x2,1.0,0.6,50,1.0
table_1x3,1.0,0.6,50,1.0
table_2x1,1.0,0.6,50,1.0
table_2x2,1.0,0.6,50,1.0
table_2x3,1.0,0.6,50,0.96875
table_3x1,1.0,0.6,50,1.0
table_3x2,1.0,0.6,50,0.875
table_3x3,1.0,0.6,50,0.8125
simple,1.0,0.7,50,1.0
table_1x1,1.0,0.7,50,1.0
table_1x2,1.0,0.7,50,1.0
table_1x3,1.0,0.7,50,1.0
table_2x1,1.0,0.7,50,1.0
table_2x2,1.0,0.7,50,1.0
table_2x3,1.0,0.7,50,0.71875
table_3x1,1.0,0.7,50,1.0
table_3x2,1.0,0.7,50,0.8125
table_3x3,1.0,0.7,50,0.78125
simple,1.0,0.8,50,1.0
table_1x1,1.0,0.8,50,1.0
table_1x2,1.0,0.8,50,1.0
table_1x3,1.0,0.8,50,1.0
table_2x1,1.0,0.8,50,1.0
table_2x2,1.0,0.8,50,0.96875
table_2x3,1.0,0.8,50,0.78125
table_3x1,1.0,0.8,50,1.0
table_3x2,1.0,0.8,50,0.78125
table_3x3,1.0,0.8,50,0.71875
simple,1.0,0.9,50,1.0
table_1x1,1.0,0.9,50,1.0
table_1x2,1.0,0.9,50,1.0
table_1x3,1.0,0.9,50,1.0
table_2x1,1.0,0.9,50,1.0
table_2x2,1.0,0.9,50,0.84375
table_2x3,1.0,0.9,50,0.875
table_3x1,1.0,0.9,50,1.0
table_3x2,1.0,0.9,50,0.59375
table_3x3,1.0,0.9,50,0.5
simple,1.0,0.95,50,1.0
table_1x1,1.0,0.95,50,1.0
table_1x2,1.0,0.95,50,1.0
table_1x3,1.0,0.95,50,1.0
table_2x1,1.0,0.95,50,1.0
table_2x2,1.0,0.95,50,0.75
table_2x3,1.0,0.95,50,0.71875
table_3x1,1.0,0.95,50,1.0
table_3x2,1.0,0.95,50,0.6875
table_3x3,1.0,0.95,50,0.625
simple,1.0,0.9,10,1.0
table_1x1,1.0,0.9,10,1.0
table_1x2,1.0,0.9,10,1.0
table_1x3,1.0,0.9,10,1.0
table_2x1,1.0,0.9,10,1.0
table_2x2,1.0,0.9,10,0.78125
table_2x3,1.0,0.9,10,0.875
table_3x1,1.0,0.9,10,1.0
table_3x2,1.0,0.9,10,0.6875
table_3x3,1.0,0.9,10,0.90625
simple,1.0,0.9,50,1.0
table_1x1,1.0,0.9,50,1.0
table_1x2,1.0,0.9,50,1.0
table_1x3,1.0,0.9,50,1.0
table_2x1,1.0,0.9,50,1.0
table_2x2,1.0,0.9,50,0.90625
table_2x3,1.0,0.9,50,0.71875
table_3x1,1.0,0.9,50,1.0
table_3x2,1.0,0.9,50,0.59375
table_3x3,1.0,0.9,50,0.65625
simple,1.0,0.9,100,1.0
table_1x1,1.0,0.9,100,1.0
table_1x2,1.0,0.9,100,1.0
table_1x3,1.0,0.9,100,1.0
table_2x1,1.0,0.9,100,1.0
table_2x2,1.0,0.9,100,0.84375
table_2x3,1.0,0.9,100,0.8125
table_3x1,1.0,0.9,100,1.0
table_3x2,1.0,0.9,100,0.625
table_3x3,1.0,0.9,100,0.78125
