prompt_type,temperature,top_p,top_k,success_rate
table_1x5,0.3,0.9,50,1.0
table_1x4,0.3,0.9,50,1.0
table_1x3,0.3,0.9,50,1.0
table_1x2,0.3,0.9,50,1.0
table_1x1,0.3,0.9,50,1.0
simple,0.4,0.9,50,1.0
table_5x5,0.4,0.9,50,1.0
table_5x4,0.4,0.9,50,1.0
table_5x3,0.4,0.9,50,1.0
table_5x2,0.4,0.9,50,1.0
table_5x1,0.4,0.9,50,1.0
table_4x5,0.4,0.9,50,0.3125
table_4x4,0.4,0.9,50,1.0
table_4x3,0.4,0.9,50,1.0
table_4x2,0.4,0.9,50,1.0
table_4x1,0.4,0.9,50,1.0
table_3x5,0.4,0.9,50,1.0
table_3x4,0.4,0.9,50,0.28125
table_3x3,0.4,0.9,50,1.0
table_3x2,0.4,0.9,50,1.0
table_3x1,0.4,0.9,50,1.0
table_2x5,0.4,0.9,50,1.0
table_2x4,0.4,0.9,50,1.0
table_2x3,0.4,0.9,50,0.0
table_2x2,0.4,0.9,50,1.0
table_2x1,0.4,0.9,50,1.0
table_1x5,0.4,0.9,50,1.0
table_1x4,0.4,0.9,50,1.0
table_1x3,0.4,0.9,50,1.0
table_1x2,0.4,0.9,50,1.0
table_1x1,0.4,0.9,50,1.0
simple,0.5,0.9,50,1.0
table_5x5,0.5,0.9,50,1.0
table_5x4,0.5,0.9,50,1.0
table_5x3,0.5,0.9,50,1.0
table_5x2,0.5,0.9,50,1.0
table_5x1,0.5,0.9,50,1.0
table_4x5,0.5,0.9,50,0.3125
table_4x4,0.5,0.9,50,1.0
table_4x3,0.5,0.9,50,1.0
table_4x2,0.5,0.9,50,1.0
table_4x1,0.5,0.9,50,1.0
table_3x5,0.5,0.9,50,1.0
table_3x4,0.5,0.9,50,0.3125
table_3x3,0.5,0.9,50,1.0
table_3x2,0.5,0.9,50,1.0
table_3x1,0.5,0.9,50,1.0
table_2x5,0.5,0.9,50,1.0
table_2x4,0.5,0.9,50,1.0
table_2x3,0.5,0.9,50,0.0
table_2x2,0.5,0.9,50,1.0
table_2x1,0.5,0.9,50,1.0
table_1x5,0.5,0.9,50,1.0
table_1x4,0.5,0.9,50,1.0
table_1x3,0.5,0.9,50,1.0
table_1x2,0.5,0.9,50,1.0
table_1x1,0.5,0.9,50,1.0
simple,0.6,0.9,50,1.0
table_5x5,0.6,0.9,50,1.0
table_5x4,0.6,0.9,50,0.90625
table_5x3,0.6,0.9,50,0.875
table_5x2,0.6,0.9,50,0.96875
table_5x1,0.6,0.9,50,1.0
table_4x5,0.6,0.9,50,0.3125
table_4x4,0.6,0.9,50,1.0
table_4x3,0.6,0.9,50,1.0
table_4x2,0.6,0.9,50,1.0
table_4x1,0.6,0.9,50,1.0
table_3x5,0.6,0.9,50,1.0
table_3x4,0.6,0.9,50,0.34375
table_3x3,0.6,0.9,50,1.0
table_3x2,0.6,0.9,50,1.0
table_3x1,0.6,0.9,50,1.0
table_2x5,0.6,0.9,50,1.0
table_2x4,0.6,0.9,50,1.0
table_2x3,0.6,0.9,50,0.0
table_2x2,0.6,0.9,50,1.0
table_2x1,0.6,0.9,50,1.0
table_1x5,0.6,0.9,50,1.0
table_1x4,0.6,0.9,50,1.0
table_1x3,0.6,0.9,50,1.0
table_1x2,0.6,0.9,50,1.0
table_1x1,0.6,0.9,50,1.0
simple,0.7,0.9,50,1.0
table_5x5,0.7,0.9,50,1.0
table_5x4,0.7,0.9,50,0.84375
table_5x3,0.7,0.9,50,0.9375
table_5x2,0.7,0.9,50,0.75
table_5x1,0.7,0.9,50,1.0
table_4x5,0.7,0.9,50,0.3125
table_4x4,0.7,0.9,50,1.0
table_4x3,0.7,0.9,50,1.0
table_4x2,0.7,0.9,50,1.0
table_4x1,0.7,0.9,50,1.0
table_3x5,0.7,0.9,50,1.0
table_3x4,0.7,0.9,50,0.34375
table_3x3,0.7,0.9,50,1.0
table_3x2,0.7,0.9,50,0.96875
table_3x1,0.7,0.9,50,1.0
table_2x5,0.7,0.9,50,1.0
table_2x4,0.7,0.9,50,1.0
table_2x3,0.7,0.9,50,0.0
table_2x2,0.7,0.9,50,1.0
table_2x1,0.7,0.9,50,0.875
table_1x5,0.7,0.9,50,1.0
table_1x4,0.7,0.9,50,0.6875
table_1x3,0.7,0.9,50,1.0
table_1x2,0.7,0.9,50,1.0
table_1x1,0.7,0.9,50,1.0
simple,0.8,0.9,50,1.0
table_5x5,0.8,0.9,50,0.90625
table_5x4,0.8,0.9,50,0.8125
table_5x3,0.8,0.9,50,0.71875
table_5x2,0.8,0.9,50,0.8125
table_5x1,0.8,0.9,50,1.0
table_4x5,0.8,0.9,50,0.21875
table_4x4,0.8,0.9,50,0.96875
table_4x3,0.8,0.9,50,0.9375
table_4x2,0.8,0.9,50,1.0
table_4x1,0.8,0.9,50,1.0
table_3x5,0.8,0.9,50,0.90625
table_3x4,0.8,0.9,50,0.46875
table_3x3,0.8,0.9,50,0.9375
table_3x2,0.8,0.9,50,0.96875
table_3x1,0.8,0.9,50,1.0
table_2x5,0.8,0.9,50,1.0
table_2x4,0.8,0.9,50,0.875
table_2x3,0.8,0.9,50,0.03125
table_2x2,0.8,0.9,50,1.0
table_2x1,0.8,0.9,50,0.84375
table_1x5,0.8,0.9,50,0.9375
table_1x4,0.8,0.9,50,0.75
table_1x3,0.8,0.9,50,1.0
table_1x2,0.8,0.9,50,1.0
table_1x1,0.8,0.9,50,1.0
simple,0.9,0.9,50,1.0
table_5x5,0.9,0.9,50,0.84375
table_5x4,0.9,0.9,50,0.78125
table_5x3,0.9,0.9,50,0.75
table_5x2,0.9,0.9,50,0.5625
table_5x1,0.9,0.9,50,1.0
table_4x5,0.9,0.9,50,0.34375
table_4x4,0.9,0.9,50,0.9375
table_4x3,0.9,0.9,50,0.78125
table_4x2,0.9,0.9,50,1.0
table_4x1,0.9,0.9,50,1.0
table_3x5,0.9,0.9,50,0.84375
table_3x4,0.9,0.9,50,0.375
table_3x3,0.9,0.9,50,0.8125
table_3x2,0.9,0.9,50,0.78125
table_3x1,0.9,0.9,50,1.0
table_2x5,0.9,0.9,50,1.0
table_2x4,0.9,0.9,50,0.84375
table_2x3,0.9,0.9,50,0.03125
table_2x2,0.9,0.9,50,1.0
table_2x1,0.9,0.9,50,0.6875
table_1x5,0.9,0.9,50,0.9375
table_1x4,0.9,0.9,50,0.71875
table_1x3,0.9,0.9,50,0.96875
table_1x2,0.9,0.9,50,1.0
table_1x1,0.9,0.9,50,1.0
simple,1.0,0.9,50,1.0
table_5x5,1.0,0.9,50,0.8125
table_5x4,1.0,0.9,50,0.8125
table_5x3,1.0,0.9,50,0.65625
table_5x2,1.0,0.9,50,0.65625
table_5x1,1.0,0.9,50,0.84375
table_4x5,1.0,0.9,50,0.21875
table_4x4,1.0,0.9,50,0.78125
table_4x3,1.0,0.9,50,0.71875
table_4x2,1.0,0.9,50,1.0
table_4x1,1.0,0.9,50,1.0
table_3x5,1.0,0.9,50,0.84375
table_3x4,1.0,0.9,50,0.3125
table_3x3,1.0,0.9,50,0.875
table_3x2,1.0,0.9,50,0.75
table_3x1,1.0,0.9,50,1.0
table_2x5,1.0,0.9,50,0.96875
table_2x4,1.0,0.9,50,0.84375
table_2x3,1.0,0.9,50,0.0
table_2x2,1.0,0.9,50,0.90625
table_2x1,1.0,0.9,50,0.90625
table_1x5,1.0,0.9,50,0.90625
table_1x4,1.0,0.9,50,0.84375
table_1x3,1.0,0.9,50,0.9375
table_1x2,1.0,0.9,50,1.0
table_1x1,1.0,0.9,50,1.0
simple,1.1,0.9,50,1.0
table_5x5,1.1,0.9,50,0.6875
table_5x4,1.1,0.9,50,0.46875
table_5x3,1.1,0.9,50,0.6875
table_5x2,1.1,0.9,50,0.59375
table_5x1,1.1,0.9,50,0.90625
table_4x5,1.1,0.9,50,0.125
table_4x4,1.1,0.9,50,0.84375
table_4x3,1.1,0.9,50,0.6875
table_4x2,1.1,0.9,50,0.9375
table_4x1,1.1,0.9,50,1.0
table_3x5,1.1,0.9,50,0.78125
table_3x4,1.1,0.9,50,0.375
table_3x3,1.1,0.9,50,0.71875
table_3x2,1.1,0.9,50,0.59375
table_3x1,1.1,0.9,50,1.0
table_2x5,1.1,0.9,50,0.96875
table_2x4,1.1,0.9,50,0.875
table_2x3,1.1,0.9,50,0.0625
table_2x2,1.1,0.9,50,0.9375
table_2x1,1.1,0.9,50,0.78125
table_1x5,1.1,0.9,50,0.90625
table_1x4,1.1,0.9,50,0.8125
table_1x3,1.1,0.9,50,0.84375
table_1x2,1.1,0.9,50,1.0
table_1x1,1.1,0.9,50,1.0
simple,1.2,0.9,50,1.0
table_5x5,1.2,0.9,50,0.78125
table_5x4,1.2,0.9,50,0.4375
table_5x3,1.2,0.9,50,0.53125
table_5x2,1.2,0.9,50,0.34375
table_5x1,1.2,0.9,50,0.875
table_4x5,1.2,0.9,50,0.125
table_4x4,1.2,0.9,50,0.75
table_4x3,1.2,0.9,50,0.53125
table_4x2,1.2,0.9,50,0.8125
table_4x1,1.2,0.9,50,1.0
table_3x5,1.2,0.9,50,0.59375
table_3x4,1.2,0.9,50,0.25
table_3x3,1.2,0.9,50,0.8125
table_3x2,1.2,0.9,50,0.5625
table_3x1,1.2,0.9,50,0.9375
table_2x5,1.2,0.9,50,0.90625
table_2x4,1.2,0.9,50,0.59375
table_2x3,1.2,0.9,50,0.0
table_2x2,1.2,0.9,50,0.90625
table_2x1,1.2,0.9,50,0.625
table_1x5,1.2,0.9,50,0.78125
table_1x4,1.2,0.9,50,0.875
table_1x3,1.2,0.9,50,0.875
table_1x2,1.2,0.9,50,1.0
table_1x1,1.2,0.9,50,1.0
simple,1.3,0.9,50,1.0
table_5x5,1.3,0.9,50,0.5625
table_5x4,1.3,0.9,50,0.65625
table_5x3,1.3,0.9,50,0.5625
table_5x2,1.3,0.9,50,0.375
table_5x1,1.3,0.9,50,0.84375
table_4x5,1.3,0.9,50,0.03125
table_4x4,1.3,0.9,50,0.6875
table_4x3,1.3,0.9,50,0.3125
table_4x2,1.3,0.9,50,0.84375
table_4x1,1.3,0.9,50,1.0
table_3x5,1.3,0.9,50,0.40625
table_3x4,1.3,0.9,50,0.21875
table_3x3,1.3,0.9,50,0.6875
table_3x2,1.3,0.9,50,0.40625
table_3x1,1.3,0.9,50,0.9375
table_2x5,1.3,0.9,50,0.71875
table_2x4,1.3,0.9,50,0.46875
table_2x3,1.3,0.9,50,0.09375
table_2x2,1.3,0.9,50,0.875
table_2x1,1.3,0.9,50,0.53125
table_1x5,1.3,0.9,50,0.71875
table_1x4,1.3,0.9,50,0.71875
table_1x3,1.3,0.9,50,0.59375
table_1x2,1.3,0.9,50,1.0
table_1x1,1.3,0.9,50,1.0
simple,1.4,0.9,50,1.0
table_5x5,1.4,0.9,50,0.4375
table_5x4,1.4,0.9,50,0.4375
table_5x3,1.4,0.9,50,0.625
table_5x2,1.4,0.9,50,0.28125
table_5x1,1.4,0.9,50,0.6875
table_4x5,1.4,0.9,50,0.15625
table_4x4,1.4,0.9,50,0.59375
table_4x3,1.4,0.9,50,0.40625
table_4x2,1.4,0.9,50,0.6875
table_4x1,1.4,0.9,50,0.96875
table_3x5,1.4,0.9,50,0.28125
table_3x4,1.4,0.9,50,0.15625
table_3x3,1.4,0.9,50,0.78125
table_3x2,1.4,0.9,50,0.65625
table_3x1,1.4,0.9,50,0.9375
table_2x5,1.4,0.9,50,0.625
table_2x4,1.4,0.9,50,0.375
table_2x3,1.4,0.9,50,0.0
table_2x2,1.4,0.9,50,0.59375
table_2x1,1.4,0.9,50,0.375
table_1x5,1.4,0.9,50,0.625
table_1x4,1.4,0.9,50,0.71875
table_1x3,1.4,0.9,50,0.5625
table_1x2,1.4,0.9,50,1.0
table_1x1,1.4,0.9,50,1.0
simple,1.5,0.9,50,1.0
table_5x5,1.5,0.9,50,0.625
table_5x4,1.5,0.9,50,0.46875
table_5x3,1.5,0.9,50,0.4375
table_5x2,1.5,0.9,50,0.1875
table_5x1,1.5,0.9,50,0.65625
table_4x5,1.5,0.9,50,0.125
table_4x4,1.5,0.9,50,0.6875
table_4x3,1.5,0.9,50,0.25
table_4x2,1.5,0.9,50,0.5625
table_4x1,1.5,0.9,50,0.90625
table_3x5,1.5,0.9,50,0.5625
table_3x4,1.5,0.9,50,0.25
table_3x3,1.5,0.9,50,0.53125
table_3x2,1.5,0.9,50,0.3125
table_3x1,1.5,0.9,50,0.71875
table_2x5,1.5,0.9,50,0.6875
table_2x4,1.5,0.9,50,0.5
table_2x3,1.5,0.9,50,0.125
table_2x2,1.5,0.9,50,0.5625
table_2x1,1.5,0.9,50,0.40625
table_1x5,1.5,0.9,50,0.5625
table_1x4,1.5,0.9,50,0.6875
table_1x3,1.5,0.9,50,0.46875
table_1x2,1.5,0.9,50,0.90625
table_1x1,1.5,0.9,50,1.0
simple,1.0,0.3,50,1.0
table_5x5,1.0,0.3,50,1.0
table_5x4,1.0,0.3,50,1.0
table_5x3,1.0,0.3,50,1.0
table_5x2,1.0,0.3,50,1.0
table_5x1,1.0,0.3,50,1.0
table_4x5,1.0,0.3,50,0.375
table_4x4,1.0,0.3,50,1.0
table_4x3,1.0,0.3,50,1.0
table_4x2,1.0,0.3,50,1.0
table_4x1,1.0,0.3,50,1.0
table_3x5,1.0,0.3,50,1.0
table_3x4,1.0,0.3,50,0.0
table_3x3,1.0,0.3,50,1.0
table_3x2,1.0,0.3,50,1.0
table_3x1,1.0,0.3,50,1.0
table_2x5,1.0,0.3,50,1.0
table_2x4,1.0,0.3,50,1.0
table_2x3,1.0,0.3,50,0.0
table_2x2,1.0,0.3,50,1.0
table_2x1,1.0,0.3,50,1.0
table_1x5,1.0,0.3,50,1.0
table_1x4,1.0,0.3,50,1.0
table_1x3,1.0,0.3,50,1.0
table_1x2,1.0,0.3,50,1.0
table_1x1,1.0,0.3,50,1.0
simple,1.0,0.4,50,1.0
table_5x5,1.0,0.4,50,1.0
table_5x4,1.0,0.4,50,1.0
table_5x3,1.0,0.4,50,1.0
table_5x2,1.0,0.4,50,1.0
table_5x1,1.0,0.4,50,1.0
table_4x5,1.0,0.4,50,0.5
table_4x4,1.0,0.4,50,1.0
table_4x3,1.0,0.4,50,1.0
table_4x2,1.0,0.4,50,1.0
table_4x1,1.0,0.4,50,1.0
table_3x5,1.0,0.4,50,1.0
table_3x4,1.0,0.4,50,0.59375
table_3x3,1.0,0.4,50,1.0
table_3x2,1.0,0.4,50,1.0
table_3x1,1.0,0.4,50,1.0
table_2x5,1.0,0.4,50,1.0
table_2x4,1.0,0.4,50,1.0
table_2x3,1.0,0.4,50,0.0
table_2x2,1.0,0.4,50,1.0
table_2x1,1.0,0.4,50,1.0
table_1x5,1.0,0.4,50,1.0
table_1x4,1.0,0.4,50,1.0
table_1x3,1.0,0.4,50,1.0
table_1x2,1.0,0.4,50,1.0
table_1x1,1.0,0.4,50,1.0
simple,1.0,0.5,50,1.0
table_5x5,1.0,0.5,50,1.0
table_5x4,1.0,0.5,50,1.0
table_5x3,1.0,0.5,50,1.0
table_5x2,1.0,0.5,50,1.0
table_5x1,1.0,0.5,50,1.0
table_4x5,1.0,0.5,50,0.40625
table_4x4,1.0,0.5,50,1.0
table_4x3,1.0,0.5,50,1.0
table_4x2,1.0,0.5,50,1.0
table_4x1,1.0,0.5,50,1.0
table_3x5,1.0,0.5,50,1.0
table_3x4,1.0,0.5,50,0.34375
table_3x3,1.0,0.5,50,1.0
table_3x2,1.0,0.5,50,1.0
table_3x1,1.0,0.5,50,1.0
table_2x5,1.0,0.5,50,1.0
table_2x4,1.0,0.5,50,1.0
table_2x3,1.0,0.5,50,0.0
table_2x2,1.0,0.5,50,1.0
table_2x1,1.0,0.5,50,1.0
table_1x5,1.0,0.5,50,1.0
table_1x4,1.0,0.5,50,1.0
table_1x3,1.0,0.5,50,1.0
table_1x2,1.0,0.5,50,1.0
table_1x1,1.0,0.5,50,1.0
simple,1.0,0.6,50,1.0
table_5x5,1.0,0.6,50,1.0
table_5x4,1.0,0.6,50,0.9375
table_5x3,1.0,0.6,50,1.0
table_5x2,1.0,0.6,50,0.84375
table_5x1,1.0,0.6,50,1.0
table_4x5,1.0,0.6,50,0.125
table_4x4,1.0,0.6,50,1.0
table_4x3,1.0,0.6,50,0.8125
table_4x2,1.0,0.6,50,1.0
table_4x1,1.0,0.6,50,1.0
table_3x5,1.0,0.6,50,1.0
table_3x4,1.0,0.6,50,0.40625
table_3x3,1.0,0.6,50,1.0
table_3x2,1.0,0.6,50,1.0
table_3x1,1.0,0.6,50,1.0
table_2x5,1.0,0.6,50,1.0
table_2x4,1.0,0.6,50,1.0
table_2x3,1.0,0.6,50,0.0
table_2x2,1.0,0.6,50,1.0
table_2x1,1.0,0.6,50,1.0
table_1x5,1.0,0.6,50,1.0
table_1x4,1.0,0.6,50,1.0
table_1x3,1.0,0.6,50,1.0
table_1x2,1.0,0.6,50,1.0
table_1x1,1.0,0.6,50,1.0
simple,1.0,0.7,50,1.0
table_5x5,1.0,0.7,50,1.0
table_5x4,1.0,0.7,50,0.6875
table_5x3,1.0,0.7,50,0.5625
table_5x2,1.0,0.7,50,0.84375
table_5x1,1.0,0.7,50,1.0
table_4x5,1.0,0.7,50,0.40625
table_4x4,1.0,0.7,50,1.0
table_4x3,1.0,0.7,50,0.875
table_4x2,1.0,0.7,50,1.0
table_4x1,1.0,0.7,50,1.0
table_3x5,1.0,0.7,50,1.0
table_3x4,1.0,0.7,50,0.5625
table_3x3,1.0,0.7,50,1.0
table_3x2,1.0,0.7,50,0.8125
table_3x1,1.0,0.7,50,1.0
table_2x5,1.0,0.7,50,1.0
table_2x4,1.0,0.7,50,1.0
table_2x3,1.0,0.7,50,0.0
table_2x2,1.0,0.7,50,1.0
table_2x1,1.0,0.7,50,1.0
table_1x5,1.0,0.7,50,1.0
table_1x4,1.0,0.7,50,1.0
table_1x3,1.0,0.7,50,1.0
table_1x2,1.0,0.7,50,1.0
table_1x1,1.0,0.7,50,1.0
simple,1.0,0.8,50,1.0
table_5x5,1.0,0.8,50,0.71875
table_5x4,1.0,0.8,50,0.75
table_5x3,1.0,0.8,50,0.75
table_5x2,1.0,0.8,50,0.75
table_5x1,1.0,0.8,50,1.0
table_4x5,1.0,0.8,50,0.3125
table_4x4,1.0,0.8,50,1.0
table_4x3,1.0,0.8,50,0.78125
table_4x2,1.0,0.8,50,1.0
table_4x1,1.0,0.8,50,1.0
table_3x5,1.0,0.8,50,0.9375
table_3x4,1.0,0.8,50,0.4375
table_3x3,1.0,0.8,50,1.0
table_3x2,1.0,0.8,50,0.71875
table_3x1,1.0,0.8,50,1.0
table_2x5,1.0,0.8,50,1.0
table_2x4,1.0,0.8,50,0.875
table_2x3,1.0,0.8,50,0.0625
table_2x2,1.0,0.8,50,1.0
table_2x1,1.0,0.8,50,0.71875
table_1x5,1.0,0.8,50,0.84375
table_1x4,1.0,0.8,50,0.875
table_1x3,1.0,0.8,50,1.0
table_1x2,1.0,0.8,50,1.0
table_1x1,1.0,0.8,50,1.0
simple,1.0,0.9,50,1.0
table_5x5,1.0,0.9,50,0.96875
table_5x4,1.0,0.9,50,0.5
table_5x3,1.0,0.9,50,0.75
table_5x2,1.0,0.9,50,0.71875
table_5x1,1.0,0.9,50,0.9375
table_4x5,1.0,0.9,50,0.375
table_4x4,1.0,0.9,50,0.84375
table_4x3,1.0,0.9,50,0.8125
table_4x2,1.0,0.9,50,1.0
table_4x1,1.0,0.9,50,1.0
table_3x5,1.0,0.9,50,0.65625
table_3x4,1.0,0.9,50,0.34375
table_3x3,1.0,0.9,50,0.8125
table_3x2,1.0,0.9,50,0.71875
table_3x1,1.0,0.9,50,1.0
table_2x5,1.0,0.9,50,0.9375
table_2x4,1.0,0.9,50,0.9375
table_2x3,1.0,0.9,50,0.0
table_2x2,1.0,0.9,50,1.0
table_2x1,1.0,0.9,50,0.65625
table_1x5,1.0,0.9,50,0.875
table_1x4,1.0,0.9,50,0.90625
table_1x3,1.0,0.9,50,0.875
table_1x2,1.0,0.9,50,1.0
table_1x1,1.0,0.9,50,1.0
simple,1.0,0.95,50,1.0
table_5x5,1.0,0.95,50,0.84375
table_5x4,1.0,0.95,50,0.5625
table_5x3,1.0,0.95,50,0.6875
table_5x2,1.0,0.95,50,0.59375
table_5x1,1.0,0.95,50,0.875
table_4x5,1.0,0.95,50,0.15625
table_4x4,1.0,0.95,50,0.875
table_4x3,1.0,0.95,50,0.53125
table_4x2,1.0,0.95,50,0.96875
table_4x1,1.0,0.95,50,1.0
table_3x5,1.0,0.95,50,0.75
table_3x4,1.0,0.95,50,0.34375
table_3x3,1.0,0.95,50,0.8125
table_3x2,1.0,0.95,50,0.6875
table_3x1,1.0,0.95,50,1.0
table_2x5,1.0,0.95,50,1.0
table_2x4,1.0,0.95,50,0.75
table_2x3,1.0,0.95,50,0.0
table_2x2,1.0,0.95,50,0.84375
table_2x1,1.0,0.95,50,0.71875
table_1x5,1.0,0.95,50,0.875
table_1x4,1.0,0.95,50,0.71875
table_1x3,1.0,0.95,50,0.84375
table_1x2,1.0,0.95,50,1.0
table_1x1,1.0,0.95,50,1.0
simple,1.0,0.9,10,1.0
table_5x5,1.0,0.9,10,0.78125
table_5x4,1.0,0.9,10,0.6875
table_5x3,1.0,0.9,10,0.71875
table_5x2,1.0,0.9,10,0.5625
table_5x1,1.0,0.9,10,0.96875
table_4x5,1.0,0.9,10,0.1875
table_4x4,1.0,0.9,10,0.90625
table_4x3,1.0,0.9,10,0.78125
table_4x2,1.0,0.9,10,1.0
table_4x1,1.0,0.9,10,1.0
table_3x5,1.0,0.9,10,0.8125
table_3x4,1.0,0.9,10,0.28125
table_3x3,1.0,0.9,10,0.9375
table_3x2,1.0,0.9,10,0.71875
table_3x1,1.0,0.9,10,1.0
table_2x5,1.0,0.9,10,0.9375
table_2x4,1.0,0.9,10,0.875
table_2x3,1.0,0.9,10,0.0625
table_2x2,1.0,0.9,10,1.0
table_2x1,1.0,0.9,10,0.84375
table_1x5,1.0,0.9,10,0.875
table_1x4,1.0,0.9,10,0.84375
table_1x3,1.0,0.9,10,1.0
table_1x2,1.0,0.9,10,1.0
table_1x1,1.0,0.9,10,1.0
simple,1.0,0.9,50,1.0
table_5x5,1.0,0.9,50,0.8125
table_5x4,1.0,0.9,50,0.5625
table_5x3,1.0,0.9,50,0.625
table_5x2,1.0,0.9,50,0.75
table_5x1,1.0,0.9,50,0.9375
table_4x5,1.0,0.9,50,0.21875
table_4x4,1.0,0.9,50,0.875
table_4x3,1.0,0.9,50,0.53125
table_4x2,1.0,0.9,50,0.96875
table_4x1,1.0,0.9,50,1.0
table_3x5,1.0,0.9,50,0.84375
table_3x4,1.0,0.9,50,0.53125
table_3x3,1.0,0.9,50,0.78125
table_3x2,1.0,0.9,50,0.6875
table_3x1,1.0,0.9,50,1.0
table_2x5,1.0,0.9,50,0.96875
table_2x4,1.0,0.9,50,0.96875
table_2x3,1.0,0.9,50,0.0
table_2x2,1.0,0.9,50,0.90625
table_2x1,1.0,0.9,50,0.59375
table_1x5,1.0,0.9,50,0.875
table_1x4,1.0,0.9,50,0.78125
table_1x3,1.0,0.9,50,0.90625
table_1x2,1.0,0.9,50,1.0
table_1x1,1.0,0.9,50,1.0
simple,1.0,0.9,100,1.0
table_5x5,1.0,0.9,100,0.8125
table_5x4,1.0,0.9,100,0.59375
table_5x3,1.0,0.9,100,0.84375
table_5x2,1.0,0.9,100,0.46875
table_5x1,1.0,0.9,100,0.90625
table_4x5,1.0,0.9,100,0.28125
table_4x4,1.0,0.9,100,0.84375
table_4x3,1.0,0.9,100,0.5625
table_4x2,1.0,0.9,100,0.875
table_4x1,1.0,0.9,100,1.0
table_3x5,1.0,0.9,100,0.71875
table_3x4,1.0,0.9,100,0.28125
table_3x3,1.0,0.9,100,0.875
table_3x2,1.0,0.9,100,0.75
table_3x1,1.0,0.9,100,1.0
table_2x5,1.0,0.9,100,0.9375
table_2x4,1.0,0.9,100,0.625
table_2x3,1.0,0.9,100,0.03125
table_2x2,1.0,0.9,100,0.9375
table_2x1,1.0,0.9,100,0.84375
table_1x5,1.0,0.9,100,0.8125
table_1x4,1.0,0.9,100,0.78125
table_1x3,1.0,0.9,100,0.9375
table_1x2,1.0,0.9,100,1.0
table_1x1,1.0,0.9,100,1.0
